data_set_name,download_type,download_urls
Groffman2012,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-hbr%2F197%2F4%2Ff6a818339216aa8ad7174fe7bf5d370e
Groffman2012,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-hbr%2F197%2F4
Groffman2012,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-hbr%2F197%2F4
Alber2020,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-gce%2F701%2F5%2F1d752706c19279ba14963a1961cc4768.csv
Alber2020,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-gce%2F701%2F5.xml
Alber2020,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-gce%2F701%2F5.xml
Avolio2019,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-knz%2F127%2F2%2F8e254ef79b10d53bb995e6e479d9d1af.csv
Avolio2019,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-knz%2F127%2F2%2F904b175920ac68a39f68969138b82475.csv
Avolio2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-knz%2F127%2F2.xml
Avolio2019,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-knz%2F127%2F2.xml
Seabloom2018,datafile,https://pasta.lternet.edu/package/data/eml/knb-lter-cdr/634/8/7a0b5f5bd1e98e322c0c7402b6320c57
Seabloom2018,metadata,https___pasta.lternet.edu_package_metadata_eml_knb-lter-cdr_634_8
Seabloom2018,package report,https://pasta.lternet.edu/package/report/eml/knb-lter-cdr/634/8
Reichmann2020,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-jrn%2F210278001%2F58%2F14c03c941677abfcb477624eadf75d67
Reichmann2020,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-jrn%2F210278001%2F58
Reichmann2020,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-jrn%2F210278001%2F58
Nippert2019,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-knz%2F11%2F13%2F75363a8b27cddd6b65f859f09686c889
Nippert2019,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-knz%2F11%2F13
Nippert2019,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-knz%2F11%2F13
Vivoni2020,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-jrn%2F210338004%2F19%2F1e639661d68c2c3c15934ef69a999864
Vivoni2020,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-jrn%2F210338004%2F19
Vivoni2020,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-jrn%2F210338004%2F19
Pegoraro2018,Metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-bnz%2F635%2F10.xml
Pegoraro2018,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-bnz%2F635%2F10.xml
Pegoraro2018,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-bnz%2F635%2F10%2Fe1f5698117bb4a51ebf3455e4e58ffe5.csv
Kelley2019,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-bnz%2F519%2F16%2F361c5c01b8c00c1b00005bbf460be3c8.csv
Kelley2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-bnz%2F519%2F16.xml
Kelley2019,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-bnz%2F519%2F16.xml
Garnello2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-bnz%2F638%2F10.xml
Garnello2019,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-bnz%2F638%2F10.xml
Garnello2019,datafile,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-bnz%2F638%2F10%2Fca4d49b4a18f18ac715f4ba150c68022.csv
